count;year;gender_event;gender_athlete;event;type;family_name_ok;given_name_ok;country;continent;country_career;athlete_ok;medal
29542;2009;Men;Men;50m Butterfly;Individual;Cavic;Milorad;SRB;Europe;SCG, YUG, SRB;Milorad Cavic (SCG, YUG, SRB);Gold
29543;2009;Men;Men;50m Butterfly;Individual;Targett;Matt;AUS;Oceania;AUS;Matt Targett (AUS);Silver
29544;2009;Men;Men;50m Butterfly;Individual;Munoz Perez;Rafael;ESP;Europe;ESP;Rafael Munoz Perez (ESP);Bronze
29770;2009;Men;Men;100m Butterfly;Individual;Phelps;Michael;USA;America;USA;Michael Phelps (USA);Gold
29771;2009;Men;Men;100m Butterfly;Individual;Cavic;Milorad;SRB;Europe;SCG, YUG, SRB;Milorad Cavic (SCG, YUG, SRB);Silver
29772;2009;Men;Men;100m Butterfly;Individual;Munoz Perez;Rafael;ESP;Europe;ESP;Rafael Munoz Perez (ESP);Bronze
29951;2009;Men;Men;200m Butterfly;Individual;Phelps;Michael;USA;America;USA;Michael Phelps (USA);Gold
29952;2009;Men;Men;200m Butterfly;Individual;Korzeniowski;Pawel;POL;Europe;POL;Pawel Korzeniowski (POL);Silver
29953;2009;Men;Men;200m Butterfly;Individual;Matsuda;Takeshi;JPN;Asia;JPN;Takeshi Matsuda (JPN);Bronze
30048;2009;Men;Men;200m Medley;Individual;Lochte;Ryan;USA;America;USA;Ryan Lochte (USA);Gold
30049;2009;Men;Men;200m Medley;Individual;Cseh;Laszlo;HUN;Europe;HUN;Laszlo Cseh (HUN);Silver
30050;2009;Men;Men;200m Medley;Individual;Shanteau;Eric;USA;America;USA;Eric Shanteau (USA);Bronze
30171;2009;Men;Men;400m Medley;Individual;Lochte;Ryan;USA;America;USA;Ryan Lochte (USA);Gold
